Director,Film_Country,Film_Date,Film_Name,Film_Rate,Stars
Billy Wilder,France,16 September 1960,The Apartment,8.3,"Jack Lemmon,Shirley MacLaine,Fred MacMurray"
Stanley Kubrick,USA,10 July 1987,Full Metal Jacket,8.3,"Matthew Modine,R. Lee Ermey,Vincent D'Onofrio"
Michael Mann,USA,15 December 1995,Heat,8.2,"Al Pacino,Robert De Niro,Val Kilmer"
Quentin Tarantino,USA,21 August 2009,Inglourious Basterds,8.3,"Brad Pitt,Diane Kruger,Eli Roth"
Akira Kurosawa,USA,13 September 1961,Yojimbo,8.2,"Toshirô Mifune,Eijirô Tôno,Tatsuya Nakadai"
Akira Kurosawa,USA,26 December 1951,Rashomon,8.2,"Toshirô Mifune,Machiko Kyô,Masayuki Mori"
Milos Forman,USA,19 September 1984,Amadeus,8.3,"F. Murray Abraham,Tom Hulce,Elizabeth Berridge"
Clyde Bruckman,USA,2 January 1927,The General,8.1,"Buster Keaton,Marion Mack,Glen Cavender"
Frank Capra,USA,19 October 1939,Mr. Smith Goes to Washington,8.1,"James Stewart,Jean Arthur,Claude Rains"
Clint Eastwood,USA,7 August 1992,Unforgiven,8.2,"Clint Eastwood,Gene Hackman,Morgan Freeman"
George Roy Hill,USA,25 December 1973,The Sting,8.3,"Paul Newman,Robert Redford,Robert Shaw"
John Lasseter,USA,22 November 1995,Toy Story,8.3,"Tom Hanks,Tim Allen,Don Rickles"
Rakeysh Omprakash Mehra,USA,26 January 2006,Rang De Basanti,8.2,"Aamir Khan,Soha Ali Khan,Siddharth"
Stanley Donen,USA,11 April 1952,Singin' in the Rain,8.3,"Gene Kelly,Donald O'Connor,Debbie Reynolds"
Orson Welles,USA,5 September 1941,Citizen Kane,8.3,"Orson Welles,Joseph Cotten,Dorothy Comingore"
Michael Curtiz,USA,23 January 1943,Casablanca,8.5,"Humphrey Bogart,Ingrid Bergman,Paul Henreid"
Oliver Stone,USA,6 February 1987,Platoon,8.1,"Charlie Sheen,Tom Berenger,Willem Dafoe"
Franklin J. Schaffner,USA,19 December 1973,Papillon,8.0,"Steve McQueen,Dustin Hoffman,Victor Jory"
John G. Avildsen,USA,3 December 1976,Rocky,8.1,"Sylvester Stallone,Talia Shire,Burt Young"
Quentin Tarantino,USA,10 October 2003,Kill Bill: Vol. 1,8.1,"Uma Thurman,David Carradine,Daryl Hannah"
Peter Weir,USA,5 June 1998,The Truman Show,8.1,"Jim Carrey,Ed Harris,Laura Linney"
Curtis Hanson,USA,19 September 1997,L.A. Confidential,8.2,"Kevin Spacey,Russell Crowe,Guy Pearce"
Guy Ritchie,USA,19 January 2001,Snatch,8.3,"Jason Statham,Brad Pitt,Benicio Del Toro"
John Huston,USA,24 January 1948,The Treasure of the Sierra Madre,8.2,"Humphrey Bogart,Walter Huston,Tim Holt"
Charles Chaplin,USA,6 February 1921,The Kid,8.3,"Charles Chaplin,Edna Purviance,Jackie Coogan"
Robert Mulligan,USA,16 March 1963,To Kill a Mockingbird,8.2,"Gregory Peck,John Megna,Frank Overton"
Sergio Leone,USA,1 June 1984,Once Upon a Time in America,8.4,"Robert De Niro,James Woods,Elizabeth McGovern"
Alfred Hitchcock,Netherlands,18 December 1959,North by Northwest,8.3,"Cary Grant,Eva Marie Saint,James Mason"
Alfred Hitchcock,Netherlands,3 February 1959,Vertigo,8.3,"James Stewart,Kim Novak,Barbara Bel Geddes"
Billy Wilder,USA,6 February 1958,Witness for the Prosecution,8.4,"Tyrone Power,Marlene Dietrich,Charles Laughton"
Billy Wilder,USA,6 July 1944,Double Indemnity,8.3,"Fred MacMurray,Barbara Stanwyck,Edward G. Robinson"
Wolfgang Petersen,USA,10 February 1982,Das Boot,8.3,"Jürgen Prochnow,Herbert Grönemeyer,Klaus Wennemann"
Asghar Farhadi,Netherlands,11 August 2011,A Separation,8.3,"Payman Maadi,Leila Hatami,Sareh Bayat"
